fips,county,average_age,percent_white,percent_uninsured,percent_degree,percent_unemployed,average_income,state,percent_republican,percent_democrat,percent_republican_2012,percent_democrat_2012
1001,Autauga,36.2,77.55,13.900000000000002,21.7,6.5,30043.21365,Alabama,73.43578930294797,23.956854953164918,72.4940558127894,26.54236015517457
1003,Baldwin,41,84.3,16.6,26.8,6.800000000000001,26630.565395,Alabama,77.3514719948985,19.565309809756613,77.21982430899159,21.550806517645132
1005,Barbour,38,47.4,18.9,13.5,11.200000000000001,20663.4527,Alabama,52.27141482194418,46.66025024061597,48.189632716853346,51.33281236433099
1007,Bibb,38.3,75.2,16,10,7.6,26875.00381,Alabama,76.96616369455876,21.422039323273893,72.82660332541568,26.152019002375297
1009,Blount,38.3,89.15,18.099999999999998,12.5,6.2,27774.180315,Alabama,89.85187519697448,8.469902300661834,86.2718204488778,12.344139650872817
1011,Bullock,38.7,22.05,15.7,12,13.4,20651.69397,Alabama,24.228887470750905,75.09040629653265,23.50620067643743,76.30590003757986
1013,Butler,39.7,55.4,16.400000000000002,11,10.9,22321.77111,Alabama,56.31548647092689,42.78641335636154,53.53609766364976,46.032414228583455
1015,Calhoun,38.1,74.65,16.900000000000002,16.1,7.6,24610.496825,Alabama,69.23969942586965,27.855876393110435,65.30497800017254,33.45483564834786
1017,Chambers,40.1,58.95,17.9,10.8,9.3,23437.680315,Alabama,56.633763971548845,41.82755116852954,52.12933214847221,46.96835053660537
1019,Cherokee,43.9,92,17.2,10.5,7.1,26915.90349,Alabama,83.87127487384556,14.510139960011426,76.65441176470588,21.772875816993466
1021,Chilton,37.2,82.15,20.200000000000003,12.2,6.5,26935.604125,Alabama,82.54176937825254,15.935360175294441,79.679725478982,19.42808121246783
1023,Choctaw,43.2,55.25,17.599999999999998,10.9,9,22625.576825,Alabama,56.43918547055586,42.77655476059439,52.05616850551655,47.46740220661986
1025,Clarke,38.9,54.4,18.4,13.5,12.1,25995.8473,Alabama,54.95516388373532,44.15584415584416,53.896103896103895,45.6998556998557
1027,Clay,41.3,80.35,19.2,9.5,9.3,27404.52222,Alabama,79.5800365185636,18.776628119293974,72.12157508609073,26.605779308279683
1029,Cleburne,40.1,92.7,16.7,8.4,6.9,21506.569525,Alabama,87.84445805266381,10.471524800979793,83.4309226143377,15.366355435986707
1031,Coffee,37.9,73.3,17.299999999999997,22.1,6.2,26346.66,Alabama,77.14619997075025,20.445571101252863,73.99223046264063,24.847384087583876
1033,Colbert,41.6,80,15,16.4,7.6,25896.27111,Alabama,67.88759847315845,29.62722325996914,59.44378092475687,39.097423647841666
1035,Conecuh,43.4,52.7,19,9.7,11.600000000000001,22600.38349,Alabama,52.162616536756836,46.9050894085282,48.95373665480427,50.604982206405694
1037,Coosa,43.8,66.1,16.1,10.6,8.200000000000001,23083.6273,Alabama,64.63718169634309,34.080030633735404,57.724346838318816,41.48049981067777
1039,Covington,42.1,84.25,17.7,13.1,7.5,21645.979365,Alabama,83.58831710709318,15.039828044000506,78.71623809832244,20.454692661441804
1041,Crenshaw,39.5,72.25,19.2,10.1,7.199999999999999,22051.826985,Alabama,72.1529110684581,26.599488163787587,67.41905354919054,31.911581569115814
1043,Cullman,39.5,92.9,17.9,13.8,6.4,24292.586985,Alabama,87.8105048554107,10.005901604163313,83.92128490811749,14.620170742294892
1045,Dale,35.8,71.45,15.6,17.5,7.3,25547.520315,Alabama,74.11505613149272,23.67728420261052,70.46932960593516,28.417826998548467
1047,Dallas,36.8,30.3,15.9,14.3,13.700000000000001,21582.380315,Alabama,30.880939668980247,68.47837693539776,29.994275901545507,69.70043884754817
1049,DeKalb,37,83.5,23.3,10.9,8.5,22197.79492,Alabama,83.48922793835773,14.114850877865523,76.53862212943633,21.874739039665972
1051,Elmore,37.3,74.85,14.000000000000002,20.2,6.800000000000001,28575.602855,Alabama,74.83809781872375,22.8586912342501,73.8564114105666,25.18989478422326
1053,Escambia,38.3,61.8,19.3,10.9,8.9,22205.595875,Alabama,67.58693222901466,30.88148294222047,62.353968040821805,36.85376661742984
1055,Etowah,40,80,16.900000000000002,15.8,7.199999999999999,25186.661585,Alabama,73.91084326263973,23.807333118645627,68.34177927927928,30.037068318318315
1057,Fayette,42.4,85.65,15.9,9.5,8,23459.025395,Alabama,81.80819912152269,16.569058077110785,76.07439055038955,22.832369942196532
1059,Franklin,38.5,80.3,21,11.8,8.200000000000001,21582.97016,Alabama,79.18025930572982,18.37724801338352,69.54324051098246,29.14254204576785
1061,Geneva,42.2,84.95,18.4,8,6.9,20403.67143,Alabama,85.48760614117849,13.054292820996654,80.97255317271203,17.994881299090988
1063,Greene,41.9,18.7,17.7,9.9,11.4,20350.601905,Alabama,17.235705470999587,82.39407651172357,15.047725996631106,84.61538461538461
1065,Hale,39.1,39.85,19.1,10,9.9,20564.305395,Alabama,39.600499375780274,59.57553058676655,37.12270151497629,62.57661616745692
1067,Henry,42.4,66.9,17.4,15,7.3,24738.47397,Alabama,70.13845578146439,28.514406885368594,64.20260095824779,35.16997490303445
1069,Houston,38,69.55,16.2,19,7.000000000000001,25514.17111,Alabama,72.7266238401142,25.0939804901261,69.7170350609756,29.456459603658537
1071,Jackson,41.4,90.2,18.4,12,7.1,24166.691745,Alabama,80.07216742843397,17.623286023574693,69.9835207444746,28.21830166731291
1073,Jefferson,37,52.8,15.1,28.8,6.800000000000001,29249.713015,Alabama,45.02207775644494,52.24931147043718,46.52620655911048,52.50046794494997
1075,Lamar,42.2,85.8,16.8,9.2,7.6,22183.97111,Alabama,83.95613908526907,14.932910113980666,76.04515050167224,22.93756967670011
1077,Lauderdale,39.7,86.1,15.2,21.5,6.7,23675.604125,Alabama,71.45801664390797,25.447659289413345,64.56848131345862,33.78429466407432
1079,Lawrence,40.2,77.2,17.7,10.7,8.1,26349.21397,Alabama,73.39123298912672,24.69397524447788,62.72264631043257,35.82838563754594
1081,Lee,28.8,70.6,16.8,30.9,6.3,20755.059365,Alabama,59.51480890615246,36.39280016647014,59.07589547856723,39.23407222548444
1083,Limestone,38.5,79.7,16.400000000000002,20.8,6.2,27180.955555,Alabama,73.15736040609137,23.705583756345177,71.17332583005064,27.65616207090602
1085,Lowndes,39.7,26.6,17.4,12.7,14.099999999999998,21425.473335,Alabama,26.2282804074296,73.1276213301378,23.341751960653994,76.3923966502725
1087,Macon,35.8,15.25,15.7,20.9,9.8,16393.88095,Alabama,15.935070873342477,82.72748056698674,12.803001154290111,87.00461716044633
1089,Madison,37.1,67.4,15,37.4,6.2,30273.56381,Alabama,55.93360631580268,39.15082803985628,58.47337674035566,39.89950330699745
1091,Marengo,40.1,46,17.7,17.9,9.4,21394.021585,Alabama,47.716477895506024,51.214833759590796,46.22715065407606,53.42631898120073
1093,Marion,42,92.7,17.299999999999997,8.8,9.1,22516.653015,Alabama,87.30638166047088,11.090458488228006,79.94888284277351,18.542336548767416
1095,Marshall,38,84.75,21.5,14.5,7.000000000000001,23918.09397,Alabama,83.56070356070356,14.051194051194052,79.23967651023159,19.296042151697097
1097,Mobile,36.3,59.8,18.6,19.8,8.4,25380.29143,Alabama,55.74923341514319,41.8815450433633,54.1812264474135,44.969738494918346
1099,Monroe,39.7,55.65,18.4,11.2,12.3,23987.55651,Alabama,56.66175748649975,42.31713303878252,53.569095829056636,45.85238406270412
1101,Montgomery,34.6,40.55,16.5,30.5,7.7,26278.649205,Alabama,35.87531193164996,62.03633210675464,37.55572320142652,61.807440210841904
1103,Morgan,38.5,78.7,18.5,19.1,7.000000000000001,25015.04635,Alabama,74.79746354343781,22.436038486927647,71.55623850057623,27.172001051375887
1105,Perry,35.2,30.05,19.6,13.3,12.9,17184.70381,Alabama,26.698382492863935,72.74976213130351,24.6844779544337,74.8729716439928
1107,Pickens,40.7,55.9,17.599999999999998,11.5,9,23145.62381,Alabama,57.446808510638306,41.836949652412045,53.25849703772997,46.30495790458372
